symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2017-10-18 00:00:00+00:00,159.76,160.71,159.6,160.42,16158659,38.0118233648,38.2378576174,37.9737544381,38.1688576877,64634636,0.0,1.0
AAPL,2017-10-19 00:00:00+00:00,155.98,157.08,155.02,156.75,42111326,37.1124449702,37.3741688417,36.8840314097,37.2956516802,168445304,0.0,1.0
AAPL,2017-10-20 00:00:00+00:00,156.25,157.75,155.96,156.61,23612246,37.1766862841,37.5335824725,37.1076863544,37.2623413693,94448984,0.0,1.0
AAPL,2017-10-23 00:00:00+00:00,156.17,157.69,155.5,156.89,21654461,37.1576518208,37.5193066249,36.99823819,37.3289619912,86617844,0.0,1.0
AAPL,2017-10-24 00:00:00+00:00,157.1,157.42,156.2,156.29,17137731,37.3789274575,37.455065311,37.1647897445,37.1862035158,68550924,0.0,1.0
AAPL,2017-10-25 00:00:00+00:00,156.41,157.55,155.27,156.91,20126554,37.2147552109,37.485996314,36.9435141078,37.333720607,80506216,0.0,1.0
AAPL,2017-10-26 00:00:00+00:00,157.41,157.8295,156.78,157.23,16751691,37.4526860031,37.5524979704,37.302789604,37.4098584605,67006764,0.0,1.0
AAPL,2017-10-27 00:00:00+00:00,163.05,163.6,158.7,159.29,43904150,38.7946156712,38.9254776069,37.7596167251,37.8999958925,175616600,0.0,1.0
AAPL,2017-10-30 00:00:00+00:00,166.72,168.07,163.72,163.89,43923292,39.6678216787,39.9890282482,38.954029302,38.9944775367,175693168,0.0,1.0
AAPL,2017-10-31 00:00:00+00:00,169.04,169.6499,166.94,167.9,35474672,40.2198211166,40.3649351068,39.720166453,39.9485800135,141898688,0.0,1.0
AAPL,2017-11-01 00:00:00+00:00,166.89,169.94,165.61,169.87,33100847,39.7082699133,40.4339588296,39.4037184993,40.4173036742,132403388,0.0,1.0
AAPL,2017-11-02 00:00:00+00:00,168.11,168.5,165.28,167.64,32710040,39.9985454798,40.0913384888,39.3252013379,39.8867180075,130840160,0.0,1.0
AAPL,2017-11-03 00:00:00+00:00,172.5,174.26,171.12,174.0,58683826,41.0430616577,41.461819852,40.7147171644,41.399957846,234735304,0.0,1.0
AAPL,2017-11-06 00:00:00+00:00,174.25,174.99,171.72,172.365,34242566,41.4594405441,41.6355093303,40.8574756398,41.0109410007,136970264,0.0,1.0
AAPL,2017-11-07 00:00:00+00:00,174.81,175.25,173.6,173.91,23910914,41.5926817877,41.6973713363,41.3047855291,41.3785440747,95643656,0.0,1.0
AAPL,2017-11-08 00:00:00+00:00,176.24,176.24,174.33,174.66,23907639,41.9329228206,41.9329228206,41.4784750074,41.5569921689,95630556,0.0,1.0
AAPL,2017-11-09 00:00:00+00:00,175.88,176.095,173.14,175.11,28636531,41.8472677354,41.8984228557,41.1953373647,41.6640610254,114546124,0.0,1.0
AAPL,2017-11-10 00:00:00+00:00,174.67,175.38,174.27,175.11,25061183,41.7092678759,41.8788080384,41.6137522914,41.8143350189,100244732,0.63,1.0
AAPL,2017-11-13 00:00:00+00:00,173.97,174.5,173.4,173.5,16828025,41.542115603,41.6686737525,41.406005895,41.4298847911,67312100,0.0,1.0
AAPL,2017-11-14 00:00:00+00:00,171.34,173.48,171.18,173.04,23588451,40.9141006347,41.4251090119,40.8758944008,41.3200418689,94353804,0.0,1.0
AAPL,2017-11-15 00:00:00+00:00,169.08,170.3197,168.38,169.97,28702351,40.3744375821,40.6704642574,40.2072853091,40.5869597576,114809404,0.0,1.0
AAPL,2017-11-16 00:00:00+00:00,171.1,171.87,170.3,171.18,23497326,40.8567912839,41.0406587842,40.6657601149,40.8758944008,93989304,0.0,1.0
AAPL,2017-11-17 00:00:00+00:00,170.15,171.39,169.64,171.04,21665811,40.6299417707,40.9260400827,40.5081594004,40.8424639463,86663244,0.0,1.0
AAPL,2017-11-20 00:00:00+00:00,169.98,170.56,169.56,170.29,15974387,40.5893476473,40.7278452448,40.4890562835,40.6633722253,63897548,0.0,1.0
AAPL,2017-11-21 00:00:00+00:00,173.14,173.7,170.78,170.78,24875471,41.3439207651,41.4776425834,40.7803788163,40.7803788163,99501884,0.0,1.0
